entity,description,primary_keys,foreign_keys,invariants,statuses_enums,evidence_paths
purchaseOrders,Purchase Orders table,id,supplierClientId->clients.id (onDelete:restrict); vendorId->vendors.id (onDelete:restrict); intakeSessionId->intakeSessions.id (onDelete:set null); createdBy->users.id (onDelete:restrict),soft_delete:deletedAt; unique:[poNumber],purchaseOrderStatus=[DRAFT|SENT|CONFIRMED|RECEIVING|RECEIVED|CANCELLED],drizzle/schema.ts
receipts,UNSPECIFIED,id,clientId->clients.id; createdBy->users.id,unique:[receiptNumber],transactionType=[PAYMENT|CREDIT|ADJUSTMENT|STATEMENT],drizzle/schema.ts
recurringOrders,Recurring Orders,id,clientId->clients.id (onDelete:cascade); createdBy->users.id (onDelete:restrict),,frequency=[DAILY|WEEKLY|BIWEEKLY|MONTHLY|QUARTERLY]; status=[ACTIVE|PAUSED|CANCELLED],drizzle/schema.ts
referralCredits,Referral Credits Table,id,referrerClientId->clients.id (onDelete:cascade); referredClientId->clients.id (onDelete:cascade); referredOrderId->orders.id (onDelete:cascade); appliedToOrderId->orders.id; appliedBy->users.id,,status=[PENDING|AVAILABLE|APPLIED|EXPIRED|CANCELLED],drizzle/schema.ts
referralCreditSettings,Referral Settings Table,id,,,,drizzle/schema.ts
referralGamificationSettings,Referral Settings,id,updatedById->users.id,,,drizzle/schema-gamification.ts
referralTracking,Referral Tracking,id,referrerClientId->clients.id (onDelete:cascade); referredClientId->clients.id (onDelete:cascade); firstOrderId->orders.id,,status=[PENDING|CONVERTED|COUCH_TAX_ACTIVE|COMPLETED|CANCELLED],drizzle/schema-gamification.ts
returns,Returns Table,id,orderId->orders.id (onDelete:cascade); processedBy->users.id,,returnReason=[DEFECTIVE|WRONG_ITEM|NOT_AS_DESCRIBED|CUSTOMER_CHANGED_MIND|OTHER],drizzle/schema.ts
rewardCatalog,Reward Catalog,id,,unique:[code],rewardType=[MARKUP_DISCOUNT|FIXED_DISCOUNT|FREE_SHIPPING|PRIORITY_SERVICE|EXCLUSIVE_ACCESS|CUSTOM],drizzle/schema-gamification.ts
rewardRedemptions,Reward Redemptions,id,clientId->clients.id (onDelete:cascade); rewardId->rewardCatalog.id (onDelete:cascade); appliedToOrderId->orders.id; approvedById->users.id,,status=[PENDING|APPROVED|APPLIED|EXPIRED|CANCELLED],drizzle/schema-gamification.ts
rolePermissions,UNSPECIFIED,id,roleId->roles.id (onDelete:cascade); permissionId->permissions.id (onDelete:cascade),,,drizzle/schema-rbac.ts
roles,RBAC Schema for TERP,id,,unique:[name],,drizzle/schema-rbac.ts
roomBookings,Room Bookings table,id,roomId->rooms.id (onDelete:cascade); calendarEventId->calendarEvents.id (onDelete:cascade); bookedById->users.id; clientId->clients.id (onDelete:set null),,status=[pending|confirmed|in_progress|completed|cancelled],drizzle/schema-scheduling.ts
rooms,Rooms table,id,,soft_delete:deletedAt,roomType=[meeting|loading],drizzle/schema-scheduling.ts
sales,Sales table,id,customerId->clients.id (onDelete:restrict); createdBy->users.id (onDelete:restrict),soft_delete:deletedAt,,drizzle/schema.ts
salesSheetDrafts,Sales Sheet Drafts,id,clientId->clients.id (onDelete:cascade); createdBy->users.id,,,drizzle/schema.ts
salesSheetHistory,Sales Sheet History,id,clientId->clients.id (onDelete:cascade); createdBy->users.id; templateId->salesSheetTemplates.id (onDelete:set null); convertedToOrderId->orders.id (onDelete:set null),soft_delete:deletedAt,,drizzle/schema.ts
salesSheetTemplates,Sales Sheet Templates,id,clientId->clients.id (onDelete:cascade); createdBy->users.id,,,drizzle/schema.ts
salesSheetVersions,Sales Sheet Versions Table,id,templateId->salesSheetTemplates.id (onDelete:cascade); createdBy->users.id,,,drizzle/schema.ts
sampleAllocations,Sample Allocations Table,id,clientId->clients.id (onDelete:cascade),,,drizzle/schema.ts
sampleInventoryLog,Sample Inventory Log,id,batchId->batches.id (onDelete:cascade); orderId->orders.id (onDelete:cascade); createdBy->users.id,,action=[ALLOCATED|RELEASED|CONSUMED],drizzle/schema.ts
sampleLocationHistory,Sample Location History Table (SAMPLE-008),id,sampleRequestId->sampleRequests.id (onDelete:cascade); changedBy->users.id,,fromLocation=[WAREHOUSE|WITH_CLIENT|WITH_SALES_REP|RETURNED|LOST]; toLocation=[WAREHOUSE|WITH_CLIENT|WITH_SALES_REP|RETURNED|LOST],drizzle/schema.ts
sampleRequests,Sample Requests Table,id,clientId->clients.id (onDelete:cascade); requestedBy->users.id; fulfilledBy->users.id; cancelledBy->users.id; relatedOrderId->orders.id; returnRequestedBy->users.id; returnApprovedBy->users.id,,sampleRequestStatus=[PENDING|FULFILLED|CANCELLED|RETURN_REQUESTED|RETURN_APPROVED|RETURNED|VENDOR_RETURN_REQUESTED|SHIPPED_TO_VENDOR|VENDOR_CONFIRMED]; location=[WAREHOUSE|WITH_CLIENT|WITH_SALES_REP|RETURNED|LOST],drizzle/schema.ts
scratchPadNotes,Scratch Pad Notes table,id,userId->users.id (onDelete:cascade),soft_delete:deletedAt,,drizzle/schema.ts
sequences,Sequences table,id,,soft_delete:deletedAt; unique:[name],,drizzle/schema.ts
sessionCartItems,Session Cart Items,id,sessionId->liveShoppingSessions.id (onDelete:cascade); batchId->batches.id (onDelete:restrict); productId->products.id (onDelete:restrict),soft_delete:deletedAt,addedByRole=[HOST|CLIENT]; itemStatus=[SAMPLE_REQUEST|INTERESTED|TO_PURCHASE]; negotiationStatus=[PENDING|COUNTER_OFFERED|ACCEPTED|REJECTED],drizzle/schema-live-shopping.ts
sessionPriceOverrides,Session Price Overrides,id,sessionId->liveShoppingSessions.id (onDelete:cascade); productId->products.id (onDelete:cascade),,,drizzle/schema-live-shopping.ts
shiftAudits,Shift Audits Table,id,locationId->cashLocations.id; resetBy->users.id,,,drizzle/schema.ts
shiftTemplates,Shift Templates table,id,,,,drizzle/schema-scheduling.ts
siteInventoryCounts,Site Inventory Counts table,id,siteId->sites.id (onDelete:cascade); batchId->batches.id (onDelete:cascade); lastCountById->users.id,,,drizzle/schema-storage.ts
sites,Sites table,id,,soft_delete:deletedAt; unique:[code],siteType=[samples|storage|shipping|warehouse|office|custom],drizzle/schema-storage.ts
siteTransfers,Site Transfers table,id,fromSiteId->sites.id (onDelete:restrict); toSiteId->sites.id (onDelete:restrict); batchId->batches.id (onDelete:restrict); requestedById->users.id; shippedById->users.id; receivedById->users.id; destinationZoneId->storageZones.id,unique:[transferNumber],status=[pending|in_transit|received|cancelled],drizzle/schema-storage.ts
storageZones,Storage Zones table,id,siteId->sites.id (onDelete:cascade),soft_delete:deletedAt,temperatureControl=[ambient|cool|cold|frozen|controlled]; accessLevel=[public|restricted|secure|high_security],drizzle/schema-storage.ts
strains,Strain Library table,id,,soft_delete:deletedAt; unique:[name],,drizzle/schema.ts
subcategories,Subcategories table,id,,soft_delete:deletedAt,,drizzle/schema.ts
supplierProfiles,Supplier Profiles Table,id,clientId->clients.id (onDelete:cascade),unique:[clientId],preferredPaymentMethod=[CASH|CHECK|WIRE|ACH|CREDIT_CARD|OTHER],drizzle/schema.ts
tagGroupMembers,Tag Group Members Table,id,groupId->tagGroups.id (onDelete:cascade); tagId->tags.id (onDelete:cascade),,,drizzle/schema.ts
tagGroups,Tag Groups Table,id,createdBy->users.id,soft_delete:deletedAt,,drizzle/schema.ts
tagHierarchy,Tag Hierarchy Table,id,parentTagId->tags.id (onDelete:cascade); childTagId->tags.id (onDelete:cascade),,,drizzle/schema.ts
tags,Tags table,id,,soft_delete:deletedAt; unique:[name],category=[STATUS|PRIORITY|TYPE|CUSTOM|STRAIN|FLAVOR|EFFECT],drizzle/schema.ts
timeEntries,Time Entries table,id,userId->users.id (onDelete:cascade); shiftId->employeeShifts.id (onDelete:set null); adjustedById->users.id; approvedById->users.id,,entryType=[regular|overtime|holiday|sick|vacation|training]; status=[active|completed|adjusted|approved|rejected],drizzle/schema-scheduling.ts
timeOffRequests,Time Off Requests table (CAL-004),id,userId->users.id (onDelete:cascade); calendarEventId->calendarEvents.id (onDelete:set null); respondedById->users.id (onDelete:set null),,,drizzle/schema.ts
timesheetPeriods,Timesheet Periods table,id,closedById->users.id,,periodType=[weekly|biweekly|monthly]; status=[open|closed|locked],drizzle/schema-scheduling.ts
todoListMembers,Todo List Members table,id,listId->todoLists.id (onDelete:cascade); userId->users.id (onDelete:cascade); addedBy->users.id (onDelete:cascade),,role=[owner|editor|viewer],drizzle/schema.ts
todoLists,Todo Lists table,id,ownerId->users.id (onDelete:cascade),,,drizzle/schema.ts
todoTaskActivity,Todo Task Activity table,id,taskId->todoTasks.id (onDelete:cascade); userId->users.id (onDelete:cascade),,action=[created|updated|status_changed|assigned|completed|deleted],drizzle/schema.ts
todoTasks,Todo Tasks table,id,listId->todoLists.id (onDelete:cascade); assignedTo->users.id (onDelete:set null); createdBy->users.id (onDelete:cascade); completedBy->users.id (onDelete:set null),,status=[todo|in_progress|done]; priority=[low|medium|high|urgent],drizzle/schema.ts
transactionLinks,Transaction Links Table,id,parentTransactionId->transactions.id (onDelete:cascade); childTransactionId->transactions.id (onDelete:cascade); createdBy->users.id,,transactionLinkType=[REFUND_OF|PAYMENT_FOR|CREDIT_APPLIED_TO|CONVERTED_FROM|PARTIAL_OF|RELATED_TO],drizzle/schema.ts
